# Android (Google Play Store)

1.angry birds, rovio entertainment oly
2.farming simulator 14, GIANTS software 
3.gta (gba,san andreas,v), rockstar games
4.traffic ricer, skgames
5.granny, DvLoper
6. car simulator, oppanagames FZC LLC
7.FNaM2, manuel genaro
8.craftsman, stargame12
9.nucleqr power reactor inc, rusos
10.lost miner, caffetteria dev
11.retro garage, wm games ltd
12.spaceflight simulator, team curiosity
13.space rocket exploration, genc sadiku
14.geforfe now, nvidia
15.my boy gba,pixel respawn llc
16.steam, valve corporation
17.townsmen, handygames
18.word search explorer, playsimple games
19.zombie smasher, italic games
20.traffic racer, skgames
21.bike race motocycle, wildlife studio
22.payback 2 the battle sandbox, apex desings games llp
23.steam link, valve corporation
24.my fishing world, tabonetr
25.nebulous.io, simplicial software llc
26.the dark pursuer, digital secrets
27.sand:box, smellymoo
28.submarine war:submarine games, rusos
29.argentinean truco, cool apps team
30.solitaire classic card, nerbyte gmbh
31.crucigrama en español, litera games
32.supreme duelist, nerons brother
33.roblox, roblox corporation
34.duolingo, duolingo
35.stick war legacy, max games studios
36.cut it, azure global
37.plato, plato team inc
38.badland, hypehype inc
39.brawl stars, supercell
40.clash royale, supercell
41.stumble guys, scopely
42.among us, innersloth llc
43.free fire, garena international
